Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Dadeldhura,SPEI-1,Lead 60,LSTM,0.13445295918251074,0.02772498060173895,0.16650819980330983,19.1683534760932,0.20801683394957626
Dadeldhura,SPEI-1,Lead 60,Transformer,0.1537823164166018,0.03564631407236891,0.18880231479610865,21.73484255665163,-0.018261512337786723
Surkhet_Airport,SPEI-1,Lead 60,Random Forest,0.08769840621639492,0.013997945176077544,0.11831291212744932,13.501280310921624,-0.1488722462862524
Surkhet_Airport,SPEI-1,Lead 60,LSTM,0.06894868519775085,0.007981977649257196,0.08934191429142985,10.195254319017613,0.3448843757881872
Surkhet_Airport,SPEI-1,Lead 60,Transformer,0.10977366428908304,0.018710230532547733,0.13678534472869427,15.6092623231077,-0.5356300021232958
Biratnagar_Airport,SPEI-1,Lead 60,Random Forest,0.07254434702350514,0.008551781171027482,0.09247584101281524,10.64441625339945,-0.218924234046306
Biratnagar_Airport,SPEI-1,Lead 60,LSTM,0.08647632972514595,0.013072019555685575,0.11433293294447394,13.160273174096746,-0.8632143533249406
Biratnagar_Airport,SPEI-1,Lead 60,Transformer,0.07632075393065176,0.009448593418204152,0.09720387553078402,11.18863587788198,-0.34675095921750554
Khumaltar,SPEI-1,Lead 60,Random Forest,0.07719269884722406,0.013291714129935081,0.11528969654715499,13.39026397401139,0.3027329006962024
Khumaltar,SPEI-1,Lead 60,LSTM,0.09720413635046565,0.015009983935589175,0.12251523960548408,14.22947104805412,0.21259456402287358
Khumaltar,SPEI-1,Lead 60,Transformer,0.11507994900261699,0.020693777019711212,0.14385331772229382,16.707771427353794,-0.08557028349541373
Dipayal,SPEI-1,Lead 60,Random Forest,0.2116898406234992,0.5981331164758933,0.7733906622631885,114.08359739163134,-0.055880821973107286
Dipayal,SPEI-1,Lead 60,LSTM,0.1887999227358464,0.5931692863113615,0.7701748413908114,113.60922857443579,-0.0471182021985308
Dipayal,SPEI-1,Lead 60,Transformer,0.24010900440932367,0.6724627184592981,0.8200382420712452,120.96462657104148,-0.18709442489411288
Okhaldhunga,SPEI-1,Lead 60,Random Forest,0.24866942226071223,0.759172333819271,0.8713049602861623,114.8525499704595,0.04307490391630697
Okhaldhunga,SPEI-1,Lead 60,LSTM,0.28885703463824963,0.781302002628483,0.8839128931226669,116.5144861491004,0.015180795413932469
Okhaldhunga,SPEI-1,Lead 60,Transformer,0.2501046310157496,0.7726907075175274,0.8790282745836606,115.87061182219011,0.02603520097426204
Kathmandu_Airport,SPEI-1,Lead 60,Random Forest,0.05838337670046239,0.007489114995930719,0.08653967295946247,9.35048559592111,0.6609603653689244
Kathmandu_Airport,SPEI-1,Lead 60,LSTM,0.09387806175198952,0.012283528291876514,0.11083107999057175,11.97513673893434,0.4439125388886177
Kathmandu_Airport,SPEI-1,Lead 60,Transformer,0.10243632158649395,0.01428053488714787,0.11950119199048966,12.911929710271664,0.35350607740624795
Nepalgunj_Airport,SPEI-1,Lead 90,Random Forest,0.10707523740703007,0.0293313263086839,0.17126390836566793,18.80455956091256,-2.5612330687972475
Nepalgunj_Airport,SPEI-1,Lead 90,LSTM,0.06991041656777008,0.007304955165959499,0.08546903044939436,9.384390961506698,0.11307631883682334
Nepalgunj_Airport,SPEI-1,Lead 90,Transformer,0.13427944196503405,0.02022425629807314,0.14221201179251047,15.614698225382478,-1.455507451744713
Parwanipur,SPEI-1,Lead 90,Random Forest,0.0771524016434543,0.007775075791896746,0.08817639021811194,9.051206250575557,-0.0241172934273175
Parwanipur,SPEI-1,Lead 90,LSTM,0.08068421323428977,0.010944161860256516,0.1046143482523144,10.738543962380763,-0.4415429152263144
Parwanipur,SPEI-1,Lead 90,Transformer,0.11870042649319623,0.021313987280717504,0.14599310696302584,14.986026520433123,-1.8074353935973257
Jumla,SPEI-1,Lead 90,Random Forest,0.1406397008445921,0.03357083769732622,0.1832234638285343,19.796997396120474,-0.8017577874320632
Jumla,SPEI-1,Lead 90,LSTM,0.16818834524240386,0.04284384152344063,0.2069875395366606,22.36466714258512,-1.299442921393426
Jumla,SPEI-1,Lead 90,Transformer,0.14905975956732356,0.032586820740182196,0.1805182005787289,19.504698099986996,-0.7489452770179827
Dhankuta,SPEI-1,Lead 90,Random Forest,0.08188502423889708,0.009815538079611913,0.0990733974365062,10.960441978127786,0.4401052273485676
Dhankuta,SPEI-1,Lead 90,LSTM,0.08742227626199857,0.009702096996597399,0.09849922332991971,10.896921374783002,0.4465760971947833
Dhankuta,SPEI-1,Lead 90,Transformer,0.10609474451731216,0.014536382570287793,0.12056692154271749,13.338260140895407,0.17082033115729878
Taplejung,SPEI-1,Lead 90,Random Forest,0.09262392967525557,0.012957800854336576,0.11383233659350306,12.923843834886165,0.6519937883831852
Taplejung,SPEI-1,Lead 90,LSTM,0.08231203536206277,0.01070255266684287,0.1034531423729742,11.745452094434762,0.7125627372972836
Taplejung,SPEI-1,Lead 90,Transformer,0.11500816821840336,0.02021716432183938,0.14218707508715192,16.143071545018824,0.45702987379040305
Pokhara_Airport,SPEI-1,Lead 90,Random Forest,0.099913139552294,0.01479612929044376,0.12163934104739206,12.901180745732981,0.6809166229925756
Pokhara_Airport,SPEI-1,Lead 90,LSTM,0.09947119065144858,0.015177817807581501,0.12319828654482781,13.06652394359961,0.6726853850368538
Pokhara_Airport,SPEI-1,Lead 90,Transformer,0.10566075927314802,0.017337107964794655,0.13167045213256715,13.965089642937123,0.6261195851727326
Dhangadhi,SPEI-1,Lead 90,Random Forest,0.0649767648172738,0.008162027973034367,0.0903439426471657,9.38719309805201,0.2456915382000876
